id,img
BT9-119,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-119.png
BT9-120,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-120.png
BT9-121,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-121.png
BT9-122,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-122.png
BT9-123,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-123.png
BT9-124,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-124.png
BT9-125,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-125.png
BT9-125_b,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-125_b.png
BT9-126,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-126.png
BT9-126_b,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-126_b.png
BT9-127,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-127.png
BT9-127_b,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-127_b.png
BT9-128,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-128.png
BT9-128_b,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-128_b.png
BT9-129,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-129.png
BT9-129_b,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-129_b.png
BT9-130,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-130.png
BT9-131,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-131.png
BT9-132,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-132.png
BT9-133,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-133.png
BT9-134,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-134.png
BT9-135,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-135.png
BT9-136,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-136.png
BT9-137,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT9-137.png
BT8-001,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT8-001.png
BT8-001_b,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT8-001_b.png
BT8-002,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT8-002.png
BT8-002_b,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT8-002_b.png
BT8-003,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT8-003.png
BT8-004,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT8-004.png
BT8-005,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT8-005.png
BT8-006,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT8-006.png
BT8-007,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT8-007.png
BT8-008,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT8-008.png
BT8-009,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT8-009.png
BT8-010,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT8-010.png
BT8-011,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT8-011.png
BT8-012,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT8-012.png
BT8-013,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT8-013.png
BT8-014,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT8-014.png
BT8-015,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT8-015.png
BT8-016,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT8-016.png
BT8-017,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT8-017.png
BT8-017_PR02,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT8-017_PR02.png
